date,amount,category,description
20-07-2024,125.65,Income,Salary
07-07-2024,125.0,Income,Side Gig
19-07-2024,3000.0,Income,Salary
22-07-2024,45.50,Expense,Groceries
21-07-2024,60.00,Expense,Restaurant
23-07-2024,150.0,Expense,Transportation
24-07-2024,200.0,Income,Freelance Project
25-07-2024,80.0,Expense,Entertainment
26-07-2024,500.0,Income,Bonus
27-07-2024,35.25,Expense,Coffee & Snacks
28-07-2024,120.0,Expense,Utilities
29-07-2024,2500.0,Income,Salary
30-07-2024,90.0,Expense,Clothing
31-07-2024,50.0,Expense,Books
01-08-2024,300.0,Income,Side Gig
02-08-2024,40.0,Expense,Transportation
03-08-2024,75.0,Expense,Entertainment
